tiempo	presion	sonido	sonido rectificado y amplificado
0,653	11,4746	3,48572	4,60051131
0,654	11,499	3,16116	3,904496022
0,655	11,5234	2,61719	2,977950165
0,656	11,5479	2,15134	2,207270901
0,657	11,5723	1,53671	1,299039843
0,658	11,5967	0,750885	0,233880875
0,659	11,6211	-0,250702	0,994054681
0,66	11,6211	-1,41098	2,380687246
0,661	11,6211	-2,14401	3,146135118
0,662	11,6455	-2,51053	3,405350981
0,663	11,6455	-3,07571	3,896604832
0,664	11,6211	-3,20816	3,816079792
0,665	11,6211	-2,10312	2,19375179
0,666	11,6211	-0,10025	0,408929837
0,667	11,5967	1,99982	3,00706688
0,668	11,5723	3,32214	4,469770659
0,669	11,5723	2,63519	3,328982548
0,67	11,5479	0,660858	0,650644769
